fur_color,height,weight,eye_color,prehistoric
brown,,166 kg,brown,TRUE
black,189 cm,206 kg,black,
orange,286 cm,65 kg,brown,TRUE
grey,208 cm,106 kg,brown,FALSE
red,170 cm,271 kg,blue,TRUE
dark grey,266 cm,110 kg,brown,TRUE
white,277 cm,108 kg,,TRUE
,251 cm,188 kg,black,TRUE
red,234 cm,141 kg,green,TRUE
black,268 cm,,black,TRUE
calico,217 cm,110 kg,brown,FALSE
orange,275 cm,221 kg,blue,TRUE
black,268 cm,137 kg,green,TRUE
,224 cm,131 kg,green,TRUE
,208 cm,226 kg,blue,FALSE
,295 cm,250 kg,brown,TRUE
,191 cm,198 kg,blue,FALSE
calico,173 cm,247 kg,green,TRUE
black,269 cm,128 kg,brown,TRUE
white,202 cm,205 kg,green,TRUE
brown,282 cm,261 kg,green,TRUE
brown,191 cm,270 kg,green,TRUE
white,289 cm,268 kg,brown,TRUE
black,267 cm,241 kg,black,TRUE
calico,272 cm,151 kg,green,TRUE
red,290 cm,200 kg,black,TRUE
black,,104 kg,green,FALSE
grey,,116 kg,black,FALSE
dark grey,253 cm,153 kg,green,TRUE
red,181 cm,144 kg,blue,FALSE
calico,199 cm,158 kg,black,FALSE
grey,244 cm,183 kg,green,TRUE
grey,259 cm,250 kg,black,TRUE
red,246 cm,78 kg,green,TRUE
white,260 cm,153 kg,blue,TRUE
white,194 cm,83 kg,blue,TRUE
red,278 cm,125 kg,black,TRUE
dark grey,232 cm,73 kg,black,TRUE
orange,241 cm,243 kg,brown,TRUE
red,264 cm,169 kg,blue,TRUE
black,283 cm,96 kg,green,TRUE
orange,236 cm,266 kg,brown,TRUE
brown,164 cm,137 kg,blue,FALSE
white,196 cm,178 kg,black,TRUE
black,167 cm,160 kg,blue,FALSE
calico,161 cm,148 kg,green,FALSE
grey,163 cm,222 kg,black,FALSE
grey,211 cm,111 kg,black,FALSE
brown,238 cm,273 kg,black,TRUE
red,261 cm,189 kg,blue,TRUE
white,205 cm,96 kg,green,TRUE
white,176 cm,101 kg,green,TRUE
white,279 cm,137 kg,brown,TRUE
white,263 cm,201 kg,green,TRUE
black,182 cm,268 kg,green,TRUE
red,300 cm,87 kg,green,TRUE
black,296 cm,115 kg,green,TRUE
white,227 cm,221 kg,blue,TRUE
orange,219 cm,170 kg,green,FALSE
red,162 cm,98 kg,blue,FALSE
white,291 cm,109 kg,black,TRUE
red,297 cm,260 kg,black,TRUE
brown,251 cm,88 kg,blue,TRUE
orange,163 cm,273 kg,brown,TRUE
orange,296 cm,163 kg,brown,TRUE
black,179 cm,159 kg,blue,FALSE
grey,179 cm,64 kg,green,FALSE
grey,261 cm,276 kg,blue,TRUE
dark grey,178 cm,270 kg,brown,TRUE
calico,169 cm,257 kg,green,TRUE
black,241 cm,150 kg,green,TRUE
calico,218 cm,174 kg,blue,FALSE
white,191 cm,205 kg,black,TRUE
dark grey,206 cm,93 kg,black,FALSE
grey,233 cm,183 kg,green,TRUE
white,221 cm,125 kg,blue,TRUE
grey,297 cm,161 kg,brown,TRUE
calico,295 cm,144 kg,green,TRUE
dark grey,220 cm,140 kg,black,TRUE
orange,233 cm,112 kg,black,TRUE
calico,274 cm,61 kg,brown,TRUE
calico,196 cm,135 kg,brown,FALSE
grey,189 cm,84 kg,black,FALSE
orange,199 cm,69 kg,brown,FALSE
black,286 cm,261 kg,brown,TRUE
black,162 cm,165 kg,black,FALSE
dark grey,285 cm,254 kg,brown,TRUE
orange,162 cm,180 kg,blue,FALSE
calico,232 cm,120 kg,black,TRUE
orange,200 cm,270 kg,blue,TRUE
calico,216 cm,162 kg,brown,FALSE
white,160 cm,250 kg,black,TRUE
brown,213 cm,230 kg,black,FALSE
black,182 cm,214 kg,black,FALSE
black,205 cm,274 kg,green,TRUE
calico,206 cm,186 kg,green,FALSE
white,191 cm,93 kg,black,TRUE
black,234 cm,144 kg,green,TRUE
red,288 cm,90 kg,black,TRUE
black,193 cm,191 kg,brown,FALSE
white,226 cm,85 kg,black,TRUE
black,188 cm,140 kg,blue,FALSE
orange,217 cm,120 kg,black,FALSE
black,229 cm,107 kg,blue,TRUE
black,300 cm,209 kg,brown,TRUE
orange,210 cm,73 kg,brown,FALSE
calico,283 cm,152 kg,black,TRUE
red,164 cm,207 kg,blue,FALSE
red,227 cm,63 kg,black,TRUE
black,281 cm,92 kg,green,TRUE
black,212 cm,130 kg,blue,FALSE
red,225 cm,89 kg,black,TRUE
dark grey,223 cm,210 kg,blue,TRUE
red,193 cm,67 kg,brown,FALSE
dark grey,261 cm,163 kg,black,TRUE
dark grey,235 cm,256 kg,blue,TRUE
red,221 cm,229 kg,blue,TRUE
dark grey,290 cm,280 kg,green,TRUE
white,222 cm,90 kg,brown,TRUE
orange,210 cm,139 kg,blue,FALSE
black,210 cm,174 kg,blue,FALSE
brown,165 cm,129 kg,blue,FALSE
red,277 cm,110 kg,brown,TRUE
grey,180 cm,245 kg,blue,TRUE
orange,191 cm,100 kg,black,FALSE
white,235 cm,179 kg,blue,TRUE
orange,161 cm,68 kg,green,FALSE
grey,246 cm,147 kg,brown,TRUE
white,189 cm,138 kg,brown,TRUE
dark grey,289 cm,243 kg,blue,TRUE
red,274 cm,238 kg,green,TRUE
black,279 cm,160 kg,green,TRUE
dark grey,276 cm,279 kg,green,TRUE
white,194 cm,246 kg,blue,TRUE
white,275 cm,263 kg,brown,TRUE
red,277 cm,85 kg,green,TRUE
calico,224 cm,215 kg,black,TRUE
calico,171 cm,241 kg,black,TRUE
black,263 cm,99 kg,brown,TRUE
red,220 cm,104 kg,green,TRUE
calico,207 cm,161 kg,black,FALSE
dark grey,184 cm,226 kg,blue,FALSE
calico,228 cm,92 kg,blue,TRUE
orange,162 cm,148 kg,green,FALSE
orange,253 cm,224 kg,black,TRUE
orange,165 cm,223 kg,blue,FALSE
orange,276 cm,96 kg,green,TRUE
white,172 cm,236 kg,brown,TRUE
brown,191 cm,185 kg,green,FALSE
orange,165 cm,115 kg,black,FALSE
red,294 cm,232 kg,green,TRUE
black,235 cm,138 kg,black,TRUE
dark grey,227 cm,148 kg,green,TRUE
red,193 cm,75 kg,brown,FALSE
calico,222 cm,219 kg,black,TRUE
brown,247 cm,256 kg,black,TRUE
white,187 cm,147 kg,brown,TRUE
calico,160 cm,170 kg,green,FALSE
calico,244 cm,146 kg,brown,TRUE
dark grey,185 cm,107 kg,brown,FALSE
orange,222 cm,214 kg,blue,TRUE
red,270 cm,208 kg,black,TRUE
orange,257 cm,251 kg,green,TRUE
calico,255 cm,256 kg,blue,TRUE
brown,256 cm,206 kg,black,TRUE
dark grey,179 cm,108 kg,blue,FALSE
red,204 cm,212 kg,blue,FALSE
red,226 cm,182 kg,brown,TRUE
dark grey,258 cm,149 kg,brown,TRUE
brown,226 cm,153 kg,brown,TRUE
grey,226 cm,245 kg,green,TRUE
brown,162 cm,172 kg,black,FALSE
brown,228 cm,152 kg,green,TRUE
calico,289 cm,197 kg,black,TRUE
brown,224 cm,257 kg,blue,TRUE
white,172 cm,243 kg,blue,TRUE
grey,272 cm,75 kg,green,TRUE
dark grey,292 cm,70 kg,brown,TRUE
white,173 cm,159 kg,blue,TRUE
orange,281 cm,205 kg,black,TRUE
calico,267 cm,76 kg,blue,TRUE
brown,227 cm,130 kg,blue,TRUE
red,193 cm,227 kg,blue,FALSE
calico,238 cm,201 kg,brown,TRUE
grey,287 cm,221 kg,brown,TRUE
grey,263 cm,161 kg,green,TRUE
calico,178 cm,100 kg,black,FALSE
black,167 cm,269 kg,blue,TRUE
white,293 cm,241 kg,blue,TRUE
dark grey,203 cm,174 kg,blue,FALSE
dark grey,268 cm,275 kg,black,TRUE
black,173 cm,188 kg,brown,FALSE
brown,259 cm,181 kg,brown,TRUE
dark grey,222 cm,104 kg,green,TRUE
grey,226 cm,203 kg,blue,TRUE
red,230 cm,125 kg,black,TRUE
calico,291 cm,275 kg,brown,TRUE
dark grey,194 cm,137 kg,black,FALSE
calico,220 cm,70 kg,brown,TRUE
calico,264 cm,140 kg,blue,TRUE
grey,205 cm,112 kg,blue,FALSE
red,168 cm,225 kg,black,FALSE
dark grey,190 cm,176 kg,brown,FALSE
grey,169 cm,225 kg,brown,FALSE
calico,198 cm,205 kg,brown,FALSE
brown,270 cm,240 kg,brown,TRUE
orange,260 cm,132 kg,brown,TRUE
grey,233 cm,93 kg,black,TRUE
calico,208 cm,75 kg,green,FALSE
black,224 cm,189 kg,black,TRUE
orange,213 cm,189 kg,black,FALSE
black,160 cm,82 kg,brown,FALSE
black,205 cm,165 kg,green,FALSE
grey,232 cm,220 kg,brown,TRUE
dark grey,228 cm,133 kg,brown,TRUE
grey,240 cm,62 kg,black,TRUE
red,250 cm,209 kg,green,TRUE
white,220 cm,71 kg,brown,TRUE
calico,,129 kg,green,FALSE
calico,,76 kg,black,FALSE
red,,250 kg,blue,TRUE
black,,238 kg,brown,FALSE
brown,290 cm,74 kg,brown,TRUE
dark grey,265 cm,236 kg,black,TRUE
dark grey,280 cm,132 kg,green,TRUE
grey,211 cm,227 kg,black,FALSE
grey,216 cm,214 kg,blue,FALSE
black,209 cm,265 kg,green,TRUE
dark grey,178 cm,128 kg,blue,FALSE
black,275 cm,178 kg,black,TRUE
black,162 cm,68 kg,blue,FALSE
grey,221 cm,203 kg,black,TRUE
grey,248 cm,268 kg,brown,TRUE
red,186 cm,241 kg,green,TRUE
white,236 cm,113 kg,brown,TRUE
black,190 cm,98 kg,black,FALSE
brown,181 cm,206 kg,blue,FALSE
calico,192 cm,183 kg,blue,FALSE
red,172 cm,95 kg,green,FALSE
grey,194 cm,71 kg,green,FALSE
red,222 cm,167 kg,green,TRUE
calico,182 cm,128 kg,green,FALSE
dark grey,267 cm,185 kg,black,TRUE
grey,249 cm,84 kg,blue,TRUE
orange,276 cm,90 kg,brown,TRUE
brown,190 cm,110 kg,brown,FALSE
dark grey,244 cm,156 kg,green,TRUE
calico,199 cm,147 kg,brown,FALSE
black,271 cm,238 kg,blue,TRUE
white,197 cm,64 kg,blue,TRUE
brown,222 cm,266 kg,brown,TRUE
grey,181 cm,267 kg,black,TRUE
white,186 cm,248 kg,brown,TRUE
black,267 cm,111 kg,blue,TRUE
black,177 cm,106 kg,black,FALSE
orange,292 cm,114 kg,brown,TRUE
red,172 cm,242 kg,green,TRUE
red,230 cm,104 kg,black,TRUE
red,175 cm,,blue,FALSE
orange,211 cm,,brown,TRUE
grey,230 cm,191 kg,green,TRUE
calico,185 cm,113 kg,green,FALSE
orange,285 cm,174 kg,green,TRUE
grey,197 cm,234 kg,black,FALSE
black,254 cm,206 kg,green,TRUE
dark grey,268 cm,106 kg,black,TRUE
calico,162 cm,174 kg,brown,FALSE
dark grey,187 cm,255 kg,blue,TRUE
brown,255 cm,248 kg,black,TRUE
red,267 cm,62 kg,green,TRUE
calico,199 cm,65 kg,green,FALSE
white,235 cm,85 kg,black,TRUE
dark grey,293 cm,236 kg,black,TRUE
white,286 cm,157 kg,brown,TRUE
dark grey,275 cm,179 kg,black,TRUE
orange,279 cm,74 kg,blue,TRUE
black,210 cm,215 kg,green,FALSE
orange,172 cm,234 kg,black,FALSE
calico,258 cm,168 kg,brown,TRUE
calico,207 cm,104 kg,brown,FALSE
calico,277 cm,113 kg,green,TRUE
orange,266 cm,253 kg,green,TRUE
white,182 cm,108 kg,green,TRUE
dark grey,187 cm,188 kg,black,FALSE
white,223 cm,87 kg,blue,TRUE
brown,238 cm,200 kg,blue,TRUE
orange,270 cm,155 kg,black,TRUE
brown,282 cm,248 kg,blue,TRUE
dark grey,277 cm,241 kg,brown,TRUE
orange,218 cm,182 kg,brown,FALSE
calico,164 cm,278 kg,blue,TRUE
grey,296 cm,199 kg,green,TRUE
red,209 cm,221 kg,brown,FALSE
calico,213 cm,173 kg,green,FALSE
white,273 cm,222 kg,black,TRUE
grey,175 cm,107 kg,black,FALSE
orange,275 cm,88 kg,blue,TRUE
orange,299 cm,162 kg,blue,TRUE
black,194 cm,72 kg,green,FALSE
white,220 cm,126 kg,brown,TRUE
brown,282 cm,152 kg,blue,TRUE
brown,170 cm,211 kg,green,FALSE
orange,224 cm,273 kg,green,TRUE
grey,298 cm,150 kg,black,TRUE
grey,274 cm,72 kg,blue,TRUE
brown,163 cm,180 kg,blue,FALSE
black,179 cm,143 kg,brown,FALSE
dark grey,244 cm,69 kg,brown,TRUE
orange,293 cm,211 kg,black,TRUE
white,280 cm,60 kg,black,TRUE
grey,289 cm,271 kg,green,TRUE
black,218 cm,98 kg,blue,FALSE
white,169 cm,108 kg,black,TRUE
red,162 cm,81 kg,brown,FALSE
dark grey,217 cm,117 kg,brown,FALSE
orange,210 cm,163 kg,green,FALSE
black,196 cm,244 kg,green,TRUE
calico,220 cm,163 kg,black,TRUE
black,264 cm,238 kg,green,TRUE
dark grey,264 cm,71 kg,blue,TRUE
red,206 cm,266 kg,green,TRUE
grey,216 cm,218 kg,blue,FALSE
red,233 cm,205 kg,blue,TRUE
orange,261 cm,212 kg,green,TRUE
black,291 cm,80 kg,blue,TRUE
black,290 cm,200 kg,brown,TRUE
calico,277 cm,252 kg,green,TRUE
dark grey,281 cm,244 kg,green,TRUE
black,242 cm,89 kg,black,TRUE
dark grey,163 cm,264 kg,green,TRUE
orange,212 cm,108 kg,green,FALSE
brown,237 cm,152 kg,brown,TRUE
white,182 cm,163 kg,green,TRUE
red,247 cm,267 kg,black,TRUE
white,250 cm,84 kg,blue,TRUE
black,196 cm,270 kg,blue,TRUE
orange,291 cm,277 kg,black,TRUE
brown,298 cm,124 kg,black,TRUE
grey,184 cm,134 kg,brown,FALSE
black,264 cm,222 kg,brown,TRUE
white,217 cm,99 kg,blue,TRUE
grey,164 cm,265 kg,black,TRUE
brown,195 cm,69 kg,black,FALSE
orange,268 cm,218 kg,green,TRUE
red,204 cm,179 kg,black,FALSE
black,256 cm,185 kg,black,TRUE
orange,160 cm,131 kg,green,FALSE
dark grey,187 cm,182 kg,blue,FALSE
orange,205 cm,96 kg,blue,FALSE
orange,261 cm,142 kg,brown,TRUE
red,220 cm,220 kg,blue,TRUE
orange,196 cm,80 kg,brown,FALSE
red,180 cm,61 kg,blue,FALSE
grey,296 cm,273 kg,brown,TRUE
black,298 cm,231 kg,black,TRUE
grey,234 cm,149 kg,brown,TRUE
orange,300 cm,162 kg,black,TRUE
grey,220 cm,263 kg,blue,TRUE
orange,271 cm,253 kg,green,TRUE
black,297 cm,240 kg,black,TRUE
calico,288 cm,120 kg,green,TRUE
black,289 cm,189 kg,black,TRUE
dark grey,200 cm,115 kg,brown,FALSE
dark grey,294 cm,160 kg,brown,TRUE
black,184 cm,189 kg,green,FALSE
grey,206 cm,229 kg,green,FALSE
calico,255 cm,108 kg,black,TRUE
grey,256 cm,260 kg,green,TRUE
red,300 cm,276 kg,blue,TRUE
grey,168 cm,68 kg,blue,FALSE
brown,212 cm,144 kg,green,FALSE
black,235 cm,176 kg,green,TRUE
calico,245 cm,72 kg,brown,TRUE
white,221 cm,254 kg,black,TRUE
white,182 cm,232 kg,green,TRUE
calico,255 cm,249 kg,blue,TRUE
calico,222 cm,92 kg,brown,TRUE
red,178 cm,116 kg,black,FALSE
white,182 cm,151 kg,blue,TRUE
white,160 cm,122 kg,black,TRUE
calico,245 cm,128 kg,brown,TRUE
brown,294 cm,204 kg,blue,TRUE
orange,217 cm,256 kg,green,TRUE
black,241 cm,191 kg,green,TRUE
brown,160 cm,211 kg,green,FALSE
grey,213 cm,240 kg,black,FALSE
red,212 cm,221 kg,black,FALSE
dark grey,204 cm,203 kg,black,FALSE
red,229 cm,148 kg,green,TRUE
white,248 cm,149 kg,brown,TRUE
brown,183 cm,167 kg,green,FALSE
black,160 cm,103 kg,brown,FALSE
grey,285 cm,207 kg,blue,TRUE
dark grey,298 cm,193 kg,black,TRUE
black,264 cm,264 kg,brown,TRUE
dark grey,180 cm,149 kg,black,FALSE
white,245 cm,222 kg,blue,TRUE
dark grey,246 cm,153 kg,green,TRUE
calico,238 cm,150 kg,black,TRUE
brown,228 cm,71 kg,brown,TRUE
white,297 cm,207 kg,black,TRUE
white,293 cm,99 kg,green,TRUE
red,171 cm,109 kg,black,FALSE
orange,248 cm,112 kg,brown,TRUE
dark grey,258 cm,181 kg,black,TRUE
white,285 cm,78 kg,black,TRUE
dark grey,240 cm,103 kg,brown,TRUE
red,258 cm,109 kg,brown,TRUE
grey,181 cm,184 kg,green,FALSE
calico,222 cm,124 kg,black,TRUE
red,259 cm,79 kg,black,TRUE
red,163 cm,199 kg,blue,FALSE
red,238 cm,243 kg,brown,TRUE
red,205 cm,155 kg,black,FALSE
red,298 cm,180 kg,brown,TRUE
red,192 cm,180 kg,green,FALSE
red,207 cm,266 kg,black,TRUE
white,206 cm,203 kg,black,TRUE
black,208 cm,173 kg,brown,FALSE
red,277 cm,120 kg,blue,TRUE
orange,234 cm,77 kg,blue,TRUE
calico,276 cm,226 kg,black,TRUE
dark grey,275 cm,161 kg,black,TRUE
white,290 cm,68 kg,black,TRUE
white,195 cm,124 kg,blue,TRUE
white,299 cm,107 kg,green,TRUE
grey,268 cm,81 kg,brown,TRUE
calico,186 cm,118 kg,black,FALSE
white,242 cm,174 kg,green,TRUE
calico,212 cm,170 kg,brown,FALSE
grey,234 cm,101 kg,black,TRUE
calico,248 cm,203 kg,black,TRUE
grey,205 cm,195 kg,blue,FALSE
white,253 cm,133 kg,blue,TRUE
black,231 cm,256 kg,blue,TRUE
brown,286 cm,165 kg,black,TRUE
calico,181 cm,224 kg,brown,FALSE
orange,296 cm,226 kg,black,TRUE
red,230 cm,181 kg,black,TRUE
red,178 cm,154 kg,green,FALSE
calico,219 cm,237 kg,blue,FALSE
dark grey,175 cm,177 kg,brown,FALSE
dark grey,208 cm,129 kg,green,FALSE
calico,188 cm,142 kg,brown,FALSE
calico,224 cm,106 kg,green,TRUE
calico,297 cm,242 kg,brown,TRUE
grey,175 cm,116 kg,black,FALSE
red,225 cm,200 kg,green,TRUE
orange,246 cm,193 kg,blue,TRUE
red,214 cm,279 kg,blue,TRUE
red,185 cm,253 kg,green,TRUE
red,195 cm,71 kg,green,FALSE
red,201 cm,68 kg,black,FALSE
calico,254 cm,275 kg,brown,TRUE
black,187 cm,192 kg,green,FALSE
calico,223 cm,260 kg,black,TRUE
black,221 cm,214 kg,green,TRUE
dark grey,216 cm,89 kg,black,FALSE
grey,224 cm,126 kg,blue,TRUE
dark grey,231 cm,248 kg,blue,TRUE
white,250 cm,171 kg,brown,TRUE
white,267 cm,108 kg,black,TRUE
red,186 cm,87 kg,brown,FALSE
dark grey,229 cm,108 kg,green,TRUE
orange,208 cm,251 kg,blue,TRUE
grey,268 cm,245 kg,black,TRUE
dark grey,193 cm,264 kg,black,TRUE
white,246 cm,184 kg,blue,TRUE
orange,256 cm,238 kg,brown,TRUE
brown,269 cm,204 kg,blue,TRUE
red,273 cm,137 kg,green,TRUE
red,226 cm,140 kg,black,TRUE
dark grey,203 cm,102 kg,brown,FALSE
brown,229 cm,122 kg,blue,TRUE
orange,249 cm,132 kg,brown,TRUE
red,258 cm,190 kg,brown,TRUE
red,169 cm,87 kg,green,FALSE
white,234 cm,140 kg,brown,TRUE
red,271 cm,139 kg,brown,TRUE
white,181 cm,127 kg,brown,TRUE
grey,179 cm,89 kg,green,FALSE
dark grey,296 cm,68 kg,black,TRUE
black,295 cm,172 kg,brown,TRUE
brown,175 cm,122 kg,green,FALSE
orange,196 cm,227 kg,green,FALSE
brown,268 cm,214 kg,green,TRUE
white,232 cm,240 kg,black,TRUE
brown,195 cm,127 kg,black,FALSE
black,265 cm,161 kg,green,TRUE
calico,296 cm,225 kg,green,TRUE
brown,197 cm,196 kg,brown,FALSE
white,193 cm,139 kg,blue,TRUE
black,263 cm,238 kg,brown,TRUE
white,218 cm,256 kg,black,TRUE
white,288 cm,117 kg,black,TRUE
black,267 cm,263 kg,black,TRUE
brown,198 cm,228 kg,brown,FALSE
brown,191 cm,119 kg,blue,FALSE
grey,233 cm,206 kg,blue,TRUE
red,187 cm,184 kg,blue,FALSE
dark grey,286 cm,80 kg,blue,TRUE
white,202 cm,67 kg,green,TRUE
black,176 cm,106 kg,black,FALSE
black,190 cm,133 kg,green,FALSE
red,175 cm,258 kg,black,TRUE
white,283 cm,269 kg,blue,TRUE
brown,296 cm,192 kg,blue,TRUE
black,268 cm,91 kg,green,TRUE
dark grey,197 cm,89 kg,green,FALSE
red,229 cm,180 kg,green,TRUE
orange,212 cm,84 kg,blue,FALSE
calico,268 cm,201 kg,green,TRUE
calico,173 cm,225 kg,black,FALSE
dark grey,170 cm,142 kg,black,FALSE
grey,247 cm,66 kg,black,TRUE
dark grey,285 cm,90 kg,green,TRUE
grey,178 cm,252 kg,green,TRUE
orange,160 cm,79 kg,brown,FALSE
white,281 cm,257 kg,blue,TRUE
black,188 cm,146 kg,blue,FALSE
calico,182 cm,274 kg,green,TRUE
calico,255 cm,187 kg,black,TRUE
dark grey,174 cm,139 kg,blue,FALSE
orange,194 cm,266 kg,blue,TRUE
dark grey,222 cm,182 kg,black,TRUE
dark grey,238 cm,223 kg,green,TRUE
red,180 cm,249 kg,blue,TRUE
calico,225 cm,96 kg,brown,TRUE
red,197 cm,136 kg,brown,FALSE
white,180 cm,180 kg,brown,TRUE
black,173 cm,135 kg,black,FALSE
red,275 cm,140 kg,brown,TRUE
red,282 cm,270 kg,green,TRUE
brown,281 cm,257 kg,green,TRUE
calico,297 cm,74 kg,blue,TRUE
brown,283 cm,138 kg,blue,TRUE
black,288 cm,260 kg,black,TRUE
black,284 cm,196 kg,black,TRUE
grey,263 cm,111 kg,blue,TRUE
black,172 cm,144 kg,blue,FALSE
red,193 cm,75 kg,black,FALSE
grey,207 cm,250 kg,green,TRUE
dark grey,203 cm,269 kg,blue,TRUE
orange,192 cm,123 kg,green,FALSE
orange,211 cm,102 kg,brown,FALSE
orange,230 cm,68 kg,brown,TRUE
orange,230 cm,168 kg,black,TRUE
brown,215 cm,231 kg,green,FALSE
orange,294 cm,136 kg,green,TRUE
grey,187 cm,102 kg,green,FALSE
brown,260 cm,184 kg,green,TRUE
grey,197 cm,108 kg,green,FALSE
calico,271 cm,87 kg,brown,TRUE
brown,259 cm,99 kg,black,TRUE
brown,213 cm,203 kg,blue,FALSE
white,229 cm,235 kg,green,TRUE
red,288 cm,72 kg,green,TRUE
calico,257 cm,147 kg,blue,TRUE
dark grey,189 cm,250 kg,green,TRUE
calico,248 cm,214 kg,brown,TRUE
grey,167 cm,135 kg,brown,FALSE
brown,238 cm,154 kg,blue,TRUE
brown,264 cm,103 kg,green,TRUE
grey,245 cm,199 kg,green,TRUE
black,288 cm,131 kg,brown,TRUE
orange,178 cm,249 kg,brown,TRUE
white,270 cm,98 kg,green,TRUE
white,194 cm,199 kg,blue,TRUE
calico,284 cm,222 kg,brown,TRUE
calico,188 cm,65 kg,blue,FALSE
brown,192 cm,251 kg,green,TRUE
red,175 cm,235 kg,blue,FALSE
black,252 cm,99 kg,brown,TRUE
white,250 cm,180 kg,black,TRUE
white,167 cm,151 kg,blue,TRUE
calico,213 cm,175 kg,black,FALSE
white,213 cm,66 kg,black,TRUE
black,275 cm,279 kg,blue,TRUE
dark grey,228 cm,128 kg,brown,TRUE
black,206 cm,179 kg,green,FALSE
black,243 cm,232 kg,blue,TRUE
brown,275 cm,73 kg,black,TRUE
black,294 cm,116 kg,green,TRUE
brown,226 cm,278 kg,green,TRUE
white,173 cm,235 kg,green,TRUE
orange,225 cm,117 kg,brown,TRUE
brown,235 cm,219 kg,brown,TRUE
calico,207 cm,172 kg,brown,FALSE
grey,292 cm,241 kg,black,TRUE
calico,180 cm,195 kg,blue,FALSE
dark grey,194 cm,140 kg,black,FALSE
orange,188 cm,255 kg,blue,TRUE
white,254 cm,239 kg,black,TRUE
brown,205 cm,142 kg,green,FALSE
calico,236 cm,188 kg,green,TRUE
black,249 cm,214 kg,blue,TRUE
dark grey,244 cm,272 kg,blue,TRUE
calico,250 cm,90 kg,black,TRUE
dark grey,175 cm,156 kg,green,FALSE
dark grey,223 cm,91 kg,black,TRUE
brown,296 cm,248 kg,black,TRUE
black,262 cm,262 kg,green,TRUE
black,278 cm,86 kg,blue,TRUE
white,176 cm,85 kg,blue,TRUE
white,169 cm,82 kg,blue,TRUE
calico,215 cm,64 kg,blue,FALSE
grey,213 cm,214 kg,black,FALSE
calico,163 cm,189 kg,brown,FALSE
red,269 cm,84 kg,green,TRUE
